Indicator,Year,Value,Units,Source,Organization,ISO3_code
16.4.1 - Total value of outward illicit financial flows,2017,10.9,CU_USD_M,"UNODC estimates based on pilot study conducted in Ecuador by UNODC-INEGI Center of Excellence for Statistical Information on Government, Crime, Victimization and Justice for the UNODC project ""Developing indicator on illicit financial flows and monitoring them in Latin America"".",,ECU
16.4.1 - Total value of outward illicit financial flows,2018,10.8,CU_USD_M,"UNODC estimates based on pilot study conducted in Ecuador by UNODC-INEGI Center of Excellence for Statistical Information on Government, Crime, Victimization and Justice for the UNODC project ""Developing indicator on illicit financial flows and monitoring them in Latin America"".",,ECU
16.4.1 - Total value of outward illicit financial flows,2016,17.5,CU_USD_M,"UNODC estimates based on pilot study conducted in Mexico by UNODC-INEGI Center of Excellence for Statistical Information on Government, Crime, Victimization and Justice for the UNODC project ""Developing indicator on illicit financial flows and monitoring them in Latin America"".",,MEX
16.4.1 - Total value of outward illicit financial flows,2017,10,CU_USD_M,"UNODC estimates based on pilot study conducted in Mexico by UNODC-INEGI Center of Excellence for Statistical Information on Government, Crime, Victimization and Justice for the UNODC project ""Developing indicator on illicit financial flows and monitoring them in Latin America"".",,MEX
16.4.1 - Total value of outward illicit financial flows,2018,13.8,CU_USD_M,"UNODC estimates based on pilot study conducted in Mexico by UNODC-INEGI Center of Excellence for Statistical Information on Government, Crime, Victimization and Justice for the UNODC project ""Developing indicator on illicit financial flows and monitoring them in Latin America"".",,MEX
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2007,26.49,PERCENT,WDI,,ALB
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2013,20.4,PERCENT,WDI,,ALB
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2019,36.1,PERCENT,WDI,,ALB
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2006,7.22,PERCENT,WDI,,ARG
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2010,10.27,PERCENT,WDI,,ARG
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2017,9.27,PERCENT,WDI,,ARG
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2021,1.29,PERCENT,WDI,,AUT
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2007,60.35,PERCENT,WDI,,BGD
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2013,47.7,PERCENT,WDI,,BGD
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2022,22.99,PERCENT,WDI,,BGD
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2009,15.5,PERCENT,WDI,,ARM
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2013,8.7,PERCENT,WDI,,ARM
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2020,1.45,PERCENT,WDI,,ARM
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2020,4.34,PERCENT,WDI,,BEL
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2006,5.3,PERCENT,WDI,,BWA
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2010,8.37,PERCENT,WDI,,BWA
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2023,6.14,PERCENT,WDI,,BWA
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2009,11.67,PERCENT,WDI,,BRA
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2007,6.67,PERCENT,WDI,,BGR
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2009,10.87,PERCENT,WDI,,BGR
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2013,7.32,PERCENT,WDI,,BGR
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2019,10.05,PERCENT,WDI,,BGR
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2023,0.92,PERCENT,WDI,,BGR
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2006,7.77,PERCENT,WDI,,CHL
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2010,1.29,PERCENT,WDI,,CHL
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2012,11.59,PERCENT,WDI,,CHN
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2006,3.51,PERCENT,WDI,,COL
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2010,2.22,PERCENT,WDI,,COL
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2017,6.57,PERCENT,WDI,,COL
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2023,2.75,PERCENT,WDI,,COL
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2007,4.92,PERCENT,WDI,,HRV
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2013,5.96,PERCENT,WDI,,HRV
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2019,10.14,PERCENT,WDI,,HRV
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2023,6.84,PERCENT,WDI,,HRV
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2019,0.17,PERCENT,WDI,,CYP
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2024,6.53,PERCENT,WDI,,CYP
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2020,3.37,PERCENT,WDI,,DNK
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2010,16.3,PERCENT,WDI,,DOM
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2016,12.34,PERCENT,WDI,,DOM
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2006,15.45,PERCENT,WDI,,ECU
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2010,1.72,PERCENT,WDI,,ECU
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2017,5.94,PERCENT,WDI,,ECU
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2009,5.66,PERCENT,WDI,,EST
16.5.2 - Bribery incidence (% of firms experiencing at least one bribe payment request),2013,0,PERCENT,WDI,,EST
