ISO3_code,Name of Indicator,Year,IndicatorType,Sub indicator,Ranking,Score,Sub-componentValue,Organization
DOM,World Governance Indicator,1996,Sub_components,Rule of Law,,,-0.522590637,World Bank
DOM,World Governance Indicator,1996,Sub_components,Voice and Accountability,,,0.056515027,World Bank
DOM,World Governance Indicator,1998,Sub_components,Control of Corruption,,,-0.755780399,World Bank
DOM,World Governance Indicator,1998,Sub_components,Government Effectiveness,,,-0.526742637,World Bank
DOM,World Governance Indicator,1998,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.416316986,World Bank
DOM,World Governance Indicator,1998,Sub_components,Regulatory Quality,,,-0.073845737,World Bank
DOM,World Governance Indicator,1998,Sub_components,Rule of Law,,,-0.576960266,World Bank
DOM,World Governance Indicator,1998,Sub_components,Voice and Accountability,,,0.093083277,World Bank
DOM,World Governance Indicator,2000,Sub_components,Control of Corruption,,,-0.688496113,World Bank
DOM,World Governance Indicator,2000,Sub_components,Government Effectiveness,,,-0.425159574,World Bank
DOM,World Governance Indicator,2000,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.012947378,World Bank
DOM,World Governance Indicator,2000,Sub_components,Regulatory Quality,,,-0.124804936,World Bank
DOM,World Governance Indicator,2000,Sub_components,Rule of Law,,,-0.676537395,World Bank
DOM,World Governance Indicator,2000,Sub_components,Voice and Accountability,,,0.225749955,World Bank
DOM,World Governance Indicator,2002,Sub_components,Control of Corruption,,,-0.472972482,World Bank
DOM,World Governance Indicator,2002,Sub_components,Government Effectiveness,,,-0.38699019,World Bank
DOM,World Governance Indicator,2002,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.118558995,World Bank
DOM,World Governance Indicator,2002,Sub_components,Regulatory Quality,,,-0.256923527,World Bank
DOM,World Governance Indicator,2002,Sub_components,Rule of Law,,,-0.705224693,World Bank
DOM,World Governance Indicator,2002,Sub_components,Voice and Accountability,,,0.237251297,World Bank
DOM,World Governance Indicator,2003,Sub_components,Control of Corruption,,,-0.728653252,World Bank
DOM,World Governance Indicator,2003,Sub_components,Government Effectiveness,,,-0.555919051,World Bank
DOM,World Governance Indicator,2003,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.419894457,World Bank
DOM,World Governance Indicator,2003,Sub_components,Regulatory Quality,,,-0.390229702,World Bank
DOM,World Governance Indicator,2003,Sub_components,Rule of Law,,,-0.640382707,World Bank
DOM,World Governance Indicator,2003,Sub_components,Voice and Accountability,,,0.023253515,World Bank
DOM,World Governance Indicator,2004,Sub_components,Control of Corruption,,,-0.592195392,World Bank
DOM,World Governance Indicator,2004,Sub_components,Government Effectiveness,,,-0.659424365,World Bank
DOM,World Governance Indicator,2004,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.344310492,World Bank
DOM,World Governance Indicator,2004,Sub_components,Regulatory Quality,,,-0.446592063,World Bank
DOM,World Governance Indicator,2004,Sub_components,Rule of Law,,,-0.680870891,World Bank
DOM,World Governance Indicator,2004,Sub_components,Voice and Accountability,,,0.047007088,World Bank
DOM,World Governance Indicator,2005,Sub_components,Control of Corruption,,,-0.710663259,World Bank
DOM,World Governance Indicator,2005,Sub_components,Government Effectiveness,,,-0.51740104,World Bank
DOM,World Governance Indicator,2005,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.258760691,World Bank
DOM,World Governance Indicator,2005,Sub_components,Regulatory Quality,,,-0.392353922,World Bank
DOM,World Governance Indicator,2005,Sub_components,Rule of Law,,,-0.685749292,World Bank
DOM,World Governance Indicator,2005,Sub_components,Voice and Accountability,,,-0.070553936,World Bank
DOM,World Governance Indicator,2006,Sub_components,Control of Corruption,,,-0.723454773,World Bank
DOM,World Governance Indicator,2006,Sub_components,Government Effectiveness,,,-0.557839572,World Bank
DOM,World Governance Indicator,2006,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.109803066,World Bank
DOM,World Governance Indicator,2006,Sub_components,Regulatory Quality,,,-0.233389333,World Bank
DOM,World Governance Indicator,2006,Sub_components,Rule of Law,,,-0.584695756,World Bank
DOM,World Governance Indicator,2006,Sub_components,Voice and Accountability,,,0.205657721,World Bank
DOM,World Governance Indicator,2007,Sub_components,Control of Corruption,,,-0.77585125,World Bank
DOM,World Governance Indicator,2007,Sub_components,Government Effectiveness,,,-0.666550159,World Bank
DOM,World Governance Indicator,2007,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.07857246,World Bank
DOM,World Governance Indicator,2007,Sub_components,Regulatory Quality,,,-0.223225877,World Bank
DOM,World Governance Indicator,2007,Sub_components,Rule of Law,,,-0.625862598,World Bank
DOM,World Governance Indicator,2007,Sub_components,Voice and Accountability,,,0.197003677,World Bank
DOM,World Governance Indicator,2008,Sub_components,Control of Corruption,,,-0.752358675,World Bank
DOM,World Governance Indicator,2008,Sub_components,Government Effectiveness,,,-0.635512412,World Bank
DOM,World Governance Indicator,2008,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.03800771,World Bank
DOM,World Governance Indicator,2008,Sub_components,Regulatory Quality,,,-0.161350831,World Bank
DOM,World Governance Indicator,2008,Sub_components,Rule of Law,,,-0.682735622,World Bank
DOM,World Governance Indicator,2008,Sub_components,Voice and Accountability,,,0.164732426,World Bank
DOM,World Governance Indicator,2009,Sub_components,Control of Corruption,,,-0.80672878,World Bank
DOM,World Governance Indicator,2009,Sub_components,Government Effectiveness,,,-0.620937765,World Bank
DOM,World Governance Indicator,2009,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.002735103,World Bank
DOM,World Governance Indicator,2009,Sub_components,Regulatory Quality,,,-0.163394451,World Bank
DOM,World Governance Indicator,2009,Sub_components,Rule of Law,,,-0.809174061,World Bank
DOM,World Governance Indicator,2009,Sub_components,Voice and Accountability,,,0.089798421,World Bank
DOM,World Governance Indicator,2010,Sub_components,Control of Corruption,,,-0.8830809,World Bank
DOM,World Governance Indicator,2010,Sub_components,Government Effectiveness,,,-0.687138081,World Bank
DOM,World Governance Indicator,2010,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.044954035,World Bank
DOM,World Governance Indicator,2010,Sub_components,Regulatory Quality,,,-0.116028167,World Bank
DOM,World Governance Indicator,2010,Sub_components,Rule of Law,,,-0.855494201,World Bank
DOM,World Governance Indicator,2010,Sub_components,Voice and Accountability,,,0.073861897,World Bank
DOM,World Governance Indicator,2011,Sub_components,Control of Corruption,,,-0.844827235,World Bank
DOM,World Governance Indicator,2011,Sub_components,Government Effectiveness,,,-0.630819678,World Bank
DOM,World Governance Indicator,2011,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.00048185,World Bank
DOM,World Governance Indicator,2011,Sub_components,Regulatory Quality,,,-0.173335299,World Bank
DOM,World Governance Indicator,2011,Sub_components,Rule of Law,,,-0.808169067,World Bank
DOM,World Governance Indicator,2011,Sub_components,Voice and Accountability,,,0.090433285,World Bank
DOM,World Governance Indicator,2012,Sub_components,Control of Corruption,,,-0.897264659,World Bank
DOM,World Governance Indicator,2012,Sub_components,Government Effectiveness,,,-0.538394749,World Bank
DOM,World Governance Indicator,2012,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.252366811,World Bank
DOM,World Governance Indicator,2012,Sub_components,Regulatory Quality,,,-0.061866112,World Bank
DOM,World Governance Indicator,2012,Sub_components,Rule of Law,,,-0.716865838,World Bank
DOM,World Governance Indicator,2012,Sub_components,Voice and Accountability,,,0.1245922,World Bank
DOM,World Governance Indicator,2013,Sub_components,Control of Corruption,,,-0.912038088,World Bank
DOM,World Governance Indicator,2013,Sub_components,Government Effectiveness,,,-0.4889386,World Bank
DOM,World Governance Indicator,2013,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.207428694,World Bank
DOM,World Governance Indicator,2013,Sub_components,Regulatory Quality,,,-0.021130007,World Bank
DOM,World Governance Indicator,2013,Sub_components,Rule of Law,,,-0.534985602,World Bank
DOM,World Governance Indicator,2013,Sub_components,Voice and Accountability,,,0.115321942,World Bank
DOM,World Governance Indicator,2014,Sub_components,Control of Corruption,,,-0.842135191,World Bank
DOM,World Governance Indicator,2014,Sub_components,Government Effectiveness,,,-0.456834704,World Bank
DOM,World Governance Indicator,2014,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.145934492,World Bank
DOM,World Governance Indicator,2014,Sub_components,Regulatory Quality,,,0.033338461,World Bank
DOM,World Governance Indicator,2014,Sub_components,Rule of Law,,,-0.383904725,World Bank
DOM,World Governance Indicator,2014,Sub_components,Voice and Accountability,,,0.188916221,World Bank
DOM,World Governance Indicator,2015,Sub_components,Control of Corruption,,,-0.873729885,World Bank
DOM,World Governance Indicator,2015,Sub_components,Government Effectiveness,,,-0.394820213,World Bank
DOM,World Governance Indicator,2015,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.227570921,World Bank
DOM,World Governance Indicator,2015,Sub_components,Regulatory Quality,,,0.014078783,World Bank
DOM,World Governance Indicator,2015,Sub_components,Rule of Law,,,-0.52951926,World Bank
DOM,World Governance Indicator,2015,Sub_components,Voice and Accountability,,,0.15422222,World Bank
DOM,World Governance Indicator,2016,Sub_components,Control of Corruption,,,-0.81047219,World Bank
DOM,World Governance Indicator,2016,Sub_components,Government Effectiveness,,,-0.290739775,World Bank
DOM,World Governance Indicator,2016,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.241259411,World Bank
DOM,World Governance Indicator,2016,Sub_components,Regulatory Quality,,,-0.009296678,World Bank
DOM,World Governance Indicator,2016,Sub_components,Rule of Law,,,-0.39412418,World Bank
DOM,World Governance Indicator,2016,Sub_components,Voice and Accountability,,,0.181855902,World Bank
DOM,World Governance Indicator,2017,Sub_components,Control of Corruption,,,-0.78759861,World Bank
DOM,World Governance Indicator,2017,Sub_components,Government Effectiveness,,,-0.383381039,World Bank
DOM,World Governance Indicator,2017,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.152073905,World Bank
DOM,World Governance Indicator,2017,Sub_components,Regulatory Quality,,,-0.038681243,World Bank
DOM,World Governance Indicator,2017,Sub_components,Rule of Law,,,-0.428010762,World Bank
DOM,World Governance Indicator,2017,Sub_components,Voice and Accountability,,,0.159204081,World Bank
DOM,World Governance Indicator,2018,Sub_components,Control of Corruption,,,-0.830888629,World Bank
DOM,World Governance Indicator,2018,Sub_components,Government Effectiveness,,,-0.388735533,World Bank
DOM,World Governance Indicator,2018,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.012300388,World Bank
DOM,World Governance Indicator,2018,Sub_components,Regulatory Quality,,,-0.028536692,World Bank
DOM,World Governance Indicator,2018,Sub_components,Rule of Law,,,-0.365240544,World Bank
DOM,World Governance Indicator,2018,Sub_components,Voice and Accountability,,,0.124981448,World Bank
DOM,World Governance Indicator,2019,Sub_components,Control of Corruption,,,-0.83899039,World Bank
DOM,World Governance Indicator,2019,Sub_components,Government Effectiveness,,,-0.351295412,World Bank
DOM,World Governance Indicator,2019,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.00311227,World Bank
DOM,World Governance Indicator,2019,Sub_components,Regulatory Quality,,,-0.018773297,World Bank
DOM,World Governance Indicator,2019,Sub_components,Rule of Law,,,-0.320300967,World Bank
DOM,World Governance Indicator,2019,Sub_components,Voice and Accountability,,,0.179251388,World Bank
DOM,World Governance Indicator,2020,Sub_components,Control of Corruption,,,-0.750963449,World Bank
DOM,World Governance Indicator,2020,Sub_components,Government Effectiveness,,,-0.281447858,World Bank
DOM,World Governance Indicator,2020,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.164981201,World Bank
DOM,World Governance Indicator,2020,Sub_components,Regulatory Quality,,,0.023165073,World Bank
DOM,World Governance Indicator,2020,Sub_components,Rule of Law,,,-0.171013609,World Bank
DOM,World Governance Indicator,2020,Sub_components,Voice and Accountability,,,0.237134993,World Bank
DOM,World Governance Indicator,2021,Sub_components,Control of Corruption,,,-0.590438902,World Bank
DOM,World Governance Indicator,2021,Sub_components,Government Effectiveness,,,-0.002571227,World Bank
DOM,World Governance Indicator,2021,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.28738603,World Bank
DOM,World Governance Indicator,2021,Sub_components,Regulatory Quality,,,0.077950858,World Bank
DOM,World Governance Indicator,2021,Sub_components,Rule of Law,,,-0.116350733,World Bank
DOM,World Governance Indicator,2021,Sub_components,Voice and Accountability,,,0.2947447,World Bank
DOM,World Governance Indicator,2022,Sub_components,Control of Corruption,,,-0.439807773,World Bank
DOM,World Governance Indicator,2022,Sub_components,Government Effectiveness,,,-0.068461061,World Bank
DOM,World Governance Indicator,2022,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.249287635,World Bank
DOM,World Governance Indicator,2022,Sub_components,Regulatory Quality,,,0.069547787,World Bank
DOM,World Governance Indicator,2022,Sub_components,Rule of Law,,,-0.093353353,World Bank
DOM,World Governance Indicator,2022,Sub_components,Voice and Accountability,,,0.313117146,World Bank
DOM,World Governance Indicator,2023,Sub_components,Control of Corruption,,,-0.449474931,World Bank
DOM,World Governance Indicator,2023,Sub_components,Government Effectiveness,,,0.128034413,World Bank
DOM,World Governance Indicator,2023,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.239014015,World Bank
DOM,World Governance Indicator,2023,Sub_components,Regulatory Quality,,,0.171186909,World Bank
DOM,World Governance Indicator,2023,Sub_components,Rule of Law,,,-0.128592283,World Bank
DOM,World Governance Indicator,2023,Sub_components,Voice and Accountability,,,0.325887054,World Bank
ECU,Chandler Good Government Index,2021,Ranking,,127/600,,,Chandler Institute of Governance
ECU,Chandler Good Government Index,2022,Ranking,,159/600,,,Chandler Institute of Governance
ECU,Chandler Good Government Index,2023,Ranking,,187/600,,,Chandler Institute of Governance
ECU,Chandler Good Government Index,2024,Ranking,,163/600,,,Chandler Institute of Governance
ECU,Chandler Good Government Index,2025,Ranking,,127/600,,,Chandler Institute of Governance
ECU,Corruption Perception Index (CPI),2016,Ranking,,120/176,,,Transparency International
ECU,Corruption Perception Index (CPI),2017,Ranking,,117/180,,,Transparency International
ECU,Corruption Perception Index (CPI),2018,Ranking,,114/180,,,Transparency International
ECU,Corruption Perception Index (CPI),2019,Ranking,,93/180,,,Transparency International
ECU,Corruption Perception Index (CPI),2020,Ranking,,92/179,,,Transparency International
ECU,Corruption Perception Index (CPI),2022,Ranking,,101/180,,,Transparency International
ECU,Corruption Perception Index (CPI),2023,Ranking,,115/180,,,Transparency International
ECU,Corruption Perception Index (CPI),2024,Ranking,,121/180,,,Transparency International
ECU,World Governance Indicator,1996,Sub_components,Control of Corruption,,,-0.684873819,World Bank
ECU,World Governance Indicator,1996,Sub_components,Government Effectiveness,,,-0.475311697,World Bank
ECU,World Governance Indicator,1996,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.77003324,World Bank
ECU,World Governance Indicator,1996,Sub_components,Regulatory Quality,,,-0.308270067,World Bank
ECU,World Governance Indicator,1996,Sub_components,Rule of Law,,,-0.449707776,World Bank
ECU,World Governance Indicator,1996,Sub_components,Voice and Accountability,,,0.013284295,World Bank
ECU,World Governance Indicator,1998,Sub_components,Control of Corruption,,,-0.791844785,World Bank
ECU,World Governance Indicator,1998,Sub_components,Government Effectiveness,,,-0.35470736,World Bank
ECU,World Governance Indicator,1998,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.162388325,World Bank
ECU,World Governance Indicator,1998,Sub_components,Regulatory Quality,,,-0.064743273,World Bank
ECU,World Governance Indicator,1998,Sub_components,Rule of Law,,,-0.539550304,World Bank
ECU,World Governance Indicator,1998,Sub_components,Voice and Accountability,,,0.114651591,World Bank
ECU,World Governance Indicator,2000,Sub_components,Control of Corruption,,,-0.799629569,World Bank
ECU,World Governance Indicator,2000,Sub_components,Government Effectiveness,,,-0.685290277,World Bank
ECU,World Governance Indicator,2000,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.572284937,World Bank
ECU,World Governance Indicator,2000,Sub_components,Regulatory Quality,,,-0.452023268,World Bank
ECU,World Governance Indicator,2000,Sub_components,Rule of Law,,,-0.666360259,World Bank
ECU,World Governance Indicator,2000,Sub_components,Voice and Accountability,,,-0.247218117,World Bank
ECU,World Governance Indicator,2002,Sub_components,Control of Corruption,,,-0.868261039,World Bank
ECU,World Governance Indicator,2002,Sub_components,Government Effectiveness,,,-0.831196308,World Bank
ECU,World Governance Indicator,2002,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.759720922,World Bank
ECU,World Governance Indicator,2002,Sub_components,Regulatory Quality,,,-0.729014635,World Bank
ECU,World Governance Indicator,2002,Sub_components,Rule of Law,,,-0.756515443,World Bank
ECU,World Governance Indicator,2002,Sub_components,Voice and Accountability,,,-0.04498877,World Bank
ECU,World Governance Indicator,2003,Sub_components,Control of Corruption,,,-0.728124201,World Bank
ECU,World Governance Indicator,2003,Sub_components,Government Effectiveness,,,-0.936161399,World Bank
ECU,World Governance Indicator,2003,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.96105659,World Bank
ECU,World Governance Indicator,2003,Sub_components,Regulatory Quality,,,-0.723995984,World Bank
ECU,World Governance Indicator,2003,Sub_components,Rule of Law,,,-0.780572593,World Bank
ECU,World Governance Indicator,2003,Sub_components,Voice and Accountability,,,-0.121541075,World Bank
ECU,World Governance Indicator,2004,Sub_components,Control of Corruption,,,-0.726669908,World Bank
ECU,World Governance Indicator,2004,Sub_components,Government Effectiveness,,,-0.957234144,World Bank
ECU,World Governance Indicator,2004,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.842910349,World Bank
ECU,World Governance Indicator,2004,Sub_components,Regulatory Quality,,,-0.699335694,World Bank
ECU,World Governance Indicator,2004,Sub_components,Rule of Law,,,-0.76489985,World Bank
ECU,World Governance Indicator,2004,Sub_components,Voice and Accountability,,,-0.244635746,World Bank
ECU,World Governance Indicator,2005,Sub_components,Control of Corruption,,,-0.735878944,World Bank
ECU,World Governance Indicator,2005,Sub_components,Government Effectiveness,,,-0.967794538,World Bank
ECU,World Governance Indicator,2005,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.793961823,World Bank
ECU,World Governance Indicator,2005,Sub_components,Regulatory Quality,,,-0.777636588,World Bank
ECU,World Governance Indicator,2005,Sub_components,Rule of Law,,,-0.821377993,World Bank
ECU,World Governance Indicator,2005,Sub_components,Voice and Accountability,,,-0.363743484,World Bank
ECU,World Governance Indicator,2006,Sub_components,Control of Corruption,,,-0.784096122,World Bank
ECU,World Governance Indicator,2006,Sub_components,Government Effectiveness,,,-1.037939191,World Bank
ECU,World Governance Indicator,2006,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.853825331,World Bank
ECU,World Governance Indicator,2006,Sub_components,Regulatory Quality,,,-1.098829389,World Bank
ECU,World Governance Indicator,2006,Sub_components,Rule of Law,,,-1.031002641,World Bank
ECU,World Governance Indicator,2006,Sub_components,Voice and Accountability,,,-0.253862709,World Bank
ECU,World Governance Indicator,2007,Sub_components,Control of Corruption,,,-0.74563235,World Bank
ECU,World Governance Indicator,2007,Sub_components,Government Effectiveness,,,-0.86144954,World Bank
ECU,World Governance Indicator,2007,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.815987229,World Bank
ECU,World Governance Indicator,2007,Sub_components,Regulatory Quality,,,-1.136937976,World Bank
ECU,World Governance Indicator,2007,Sub_components,Rule of Law,,,-1.032861471,World Bank
ECU,World Governance Indicator,2007,Sub_components,Voice and Accountability,,,-0.161115885,World Bank
ECU,World Governance Indicator,2008,Sub_components,Control of Corruption,,,-0.654705822,World Bank
ECU,World Governance Indicator,2008,Sub_components,Government Effectiveness,,,-0.854377806,World Bank
ECU,World Governance Indicator,2008,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.728682399,World Bank
ECU,World Governance Indicator,2008,Sub_components,Regulatory Quality,,,-1.127548575,World Bank
ECU,World Governance Indicator,2008,Sub_components,Rule of Law,,,-1.105306387,World Bank
ECU,World Governance Indicator,2008,Sub_components,Voice and Accountability,,,-0.222304702,World Bank
ECU,World Governance Indicator,2009,Sub_components,Control of Corruption,,,-0.744574428,World Bank
ECU,World Governance Indicator,2009,Sub_components,Government Effectiveness,,,-0.738012195,World Bank
ECU,World Governance Indicator,2009,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.673675776,World Bank
ECU,World Governance Indicator,2009,Sub_components,Regulatory Quality,,,-1.259179473,World Bank
ECU,World Governance Indicator,2009,Sub_components,Rule of Law,,,-1.205040216,World Bank
ECU,World Governance Indicator,2009,Sub_components,Voice and Accountability,,,-0.250357389,World Bank
ECU,World Governance Indicator,2010,Sub_components,Control of Corruption,,,-0.70774436,World Bank
ECU,World Governance Indicator,2010,Sub_components,Government Effectiveness,,,-0.674511254,World Bank
ECU,World Governance Indicator,2010,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.586674452,World Bank
ECU,World Governance Indicator,2010,Sub_components,Regulatory Quality,,,-1.12405169,World Bank
ECU,World Governance Indicator,2010,Sub_components,Rule of Law,,,-1.143229127,World Bank
ECU,World Governance Indicator,2010,Sub_components,Voice and Accountability,,,-0.23108083,World Bank
ECU,World Governance Indicator,2011,Sub_components,Control of Corruption,,,-0.641708136,World Bank
ECU,World Governance Indicator,2011,Sub_components,Government Effectiveness,,,-0.527820349,World Bank
ECU,World Governance Indicator,2011,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.686557531,World Bank
ECU,World Governance Indicator,2011,Sub_components,Regulatory Quality,,,-0.956343532,World Bank
ECU,World Governance Indicator,2011,Sub_components,Rule of Law,,,-1.144285321,World Bank
ECU,World Governance Indicator,2011,Sub_components,Voice and Accountability,,,-0.293364823,World Bank
ECU,World Governance Indicator,2012,Sub_components,Control of Corruption,,,-0.508597851,World Bank
ECU,World Governance Indicator,2012,Sub_components,Government Effectiveness,,,-0.474284679,World Bank
ECU,World Governance Indicator,2012,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.57030648,World Bank
ECU,World Governance Indicator,2012,Sub_components,Regulatory Quality,,,-0.943592429,World Bank
ECU,World Governance Indicator,2012,Sub_components,Rule of Law,,,-1.063925147,World Bank
ECU,World Governance Indicator,2012,Sub_components,Voice and Accountability,,,-0.296114117,World Bank
ECU,World Governance Indicator,2013,Sub_components,Control of Corruption,,,-0.502911985,World Bank
ECU,World Governance Indicator,2013,Sub_components,Government Effectiveness,,,-0.448586315,World Bank
ECU,World Governance Indicator,2013,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.178656712,World Bank
ECU,World Governance Indicator,2013,Sub_components,Regulatory Quality,,,-0.83761102,World Bank
ECU,World Governance Indicator,2013,Sub_components,Rule of Law,,,-0.870363593,World Bank
ECU,World Governance Indicator,2013,Sub_components,Voice and Accountability,,,-0.252790272,World Bank
ECU,World Governance Indicator,2014,Sub_components,Control of Corruption,,,-0.741118491,World Bank
ECU,World Governance Indicator,2014,Sub_components,Government Effectiveness,,,-0.385554224,World Bank
ECU,World Governance Indicator,2014,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.018533209,World Bank
ECU,World Governance Indicator,2014,Sub_components,Regulatory Quality,,,-0.920283794,World Bank
ECU,World Governance Indicator,2014,Sub_components,Rule of Law,,,-0.970792294,World Bank
ECU,World Governance Indicator,2014,Sub_components,Voice and Accountability,,,-0.202547446,World Bank
ECU,World Governance Indicator,2015,Sub_components,Control of Corruption,,,-0.672376871,World Bank
ECU,World Governance Indicator,2015,Sub_components,Government Effectiveness,,,-0.394527704,World Bank
ECU,World Governance Indicator,2015,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.147344977,World Bank
ECU,World Governance Indicator,2015,Sub_components,Regulatory Quality,,,-1.141577363,World Bank
ECU,World Governance Indicator,2015,Sub_components,Rule of Law,,,-0.956418455,World Bank
ECU,World Governance Indicator,2015,Sub_components,Voice and Accountability,,,-0.211860508,World Bank
ECU,World Governance Indicator,2016,Sub_components,Control of Corruption,,,-0.680792749,World Bank
ECU,World Governance Indicator,2016,Sub_components,Government Effectiveness,,,-0.383570671,World Bank
ECU,World Governance Indicator,2016,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.091710433,World Bank
ECU,World Governance Indicator,2016,Sub_components,Regulatory Quality,,,-0.958474398,World Bank
ECU,World Governance Indicator,2016,Sub_components,Rule of Law,,,-0.649083614,World Bank
ECU,World Governance Indicator,2016,Sub_components,Voice and Accountability,,,-0.24726963,World Bank
ECU,World Governance Indicator,2017,Sub_components,Control of Corruption,,,-0.626104653,World Bank
ECU,World Governance Indicator,2017,Sub_components,Government Effectiveness,,,-0.352247715,World Bank
ECU,World Governance Indicator,2017,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.078932077,World Bank
ECU,World Governance Indicator,2017,Sub_components,Regulatory Quality,,,-1.023587346,World Bank
ECU,World Governance Indicator,2017,Sub_components,Rule of Law,,,-0.718140543,World Bank
ECU,World Governance Indicator,2017,Sub_components,Voice and Accountability,,,-0.172362104,World Bank
ECU,World Governance Indicator,2018,Sub_components,Control of Corruption,,,-0.629500389,World Bank
ECU,World Governance Indicator,2018,Sub_components,Government Effectiveness,,,-0.317793667,World Bank
ECU,World Governance Indicator,2018,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.094721168,World Bank
ECU,World Governance Indicator,2018,Sub_components,Regulatory Quality,,,-0.886888802,World Bank
ECU,World Governance Indicator,2018,Sub_components,Rule of Law,,,-0.663264275,World Bank
ECU,World Governance Indicator,2018,Sub_components,Voice and Accountability,,,0.000832675,World Bank
ECU,World Governance Indicator,2019,Sub_components,Control of Corruption,,,-0.509275019,World Bank
ECU,World Governance Indicator,2019,Sub_components,Government Effectiveness,,,-0.367696136,World Bank
ECU,World Governance Indicator,2019,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.238217756,World Bank
ECU,World Governance Indicator,2019,Sub_components,Regulatory Quality,,,-0.796693981,World Bank
ECU,World Governance Indicator,2019,Sub_components,Rule of Law,,,-0.542950988,World Bank
ECU,World Governance Indicator,2019,Sub_components,Voice and Accountability,,,0.031720877,World Bank
ECU,World Governance Indicator,2020,Sub_components,Control of Corruption,,,-0.504086554,World Bank
ECU,World Governance Indicator,2020,Sub_components,Government Effectiveness,,,-0.47050634,World Bank
ECU,World Governance Indicator,2020,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.270243227,World Bank
ECU,World Governance Indicator,2020,Sub_components,Regulatory Quality,,,-0.871133387,World Bank
ECU,World Governance Indicator,2020,Sub_components,Rule of Law,,,-0.540949643,World Bank
ECU,World Governance Indicator,2020,Sub_components,Voice and Accountability,,,-0.014699864,World Bank
ECU,World Governance Indicator,2021,Sub_components,Control of Corruption,,,-0.59461385,World Bank
ECU,World Governance Indicator,2021,Sub_components,Government Effectiveness,,,-0.241593525,World Bank
ECU,World Governance Indicator,2021,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.25738737,World Bank
ECU,World Governance Indicator,2021,Sub_components,Regulatory Quality,,,-0.719614744,World Bank
ECU,World Governance Indicator,2021,Sub_components,Rule of Law,,,-0.354992211,World Bank
ECU,World Governance Indicator,2021,Sub_components,Voice and Accountability,,,0.099666551,World Bank
ECU,World Governance Indicator,2022,Sub_components,Control of Corruption,,,-0.630264878,World Bank
ECU,World Governance Indicator,2022,Sub_components,Government Effectiveness,,,-0.309278339,World Bank
ECU,World Governance Indicator,2022,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.371224314,World Bank
ECU,World Governance Indicator,2022,Sub_components,Regulatory Quality,,,-0.459721535,World Bank
ECU,World Governance Indicator,2022,Sub_components,Rule of Law,,,-0.620780826,World Bank
ECU,World Governance Indicator,2022,Sub_components,Voice and Accountability,,,0.02739471,World Bank
