ISO3_code,Name of Indicator,Year,IndicatorType,Sub indicator,Ranking,Score,Sub-componentValue,Organization
ALB,World Governance Indicator,2008,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.030500913,World Bank
ALB,World Governance Indicator,2008,Sub_components,Regulatory Quality,,,0.137666509,World Bank
ALB,World Governance Indicator,2008,Sub_components,Rule of Law,,,-0.600079298,World Bank
ALB,World Governance Indicator,2008,Sub_components,Voice and Accountability,,,0.174939081,World Bank
ALB,World Governance Indicator,2009,Sub_components,Control of Corruption,,,-0.54527092,World Bank
ALB,World Governance Indicator,2009,Sub_components,Government Effectiveness,,,-0.25594148,World Bank
ALB,World Governance Indicator,2009,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.045140512,World Bank
ALB,World Governance Indicator,2009,Sub_components,Regulatory Quality,,,0.241446003,World Bank
ALB,World Governance Indicator,2009,Sub_components,Rule of Law,,,-0.494370162,World Bank
ALB,World Governance Indicator,2009,Sub_components,Voice and Accountability,,,0.141477332,World Bank
ALB,World Governance Indicator,2010,Sub_components,Control of Corruption,,,-0.531616509,World Bank
ALB,World Governance Indicator,2010,Sub_components,Government Effectiveness,,,-0.279453218,World Bank
ALB,World Governance Indicator,2010,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.191482902,World Bank
ALB,World Governance Indicator,2010,Sub_components,Regulatory Quality,,,0.233281955,World Bank
ALB,World Governance Indicator,2010,Sub_components,Rule of Law,,,-0.385760486,World Bank
ALB,World Governance Indicator,2010,Sub_components,Voice and Accountability,,,0.123838224,World Bank
ALB,World Governance Indicator,2011,Sub_components,Control of Corruption,,,-0.701794147,World Bank
ALB,World Governance Indicator,2011,Sub_components,Government Effectiveness,,,-0.202177078,World Bank
ALB,World Governance Indicator,2011,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.282379419,World Bank
ALB,World Governance Indicator,2011,Sub_components,Regulatory Quality,,,0.283972561,World Bank
ALB,World Governance Indicator,2011,Sub_components,Rule of Law,,,-0.442926466,World Bank
ALB,World Governance Indicator,2011,Sub_components,Voice and Accountability,,,0.062333763,World Bank
ALB,World Governance Indicator,2012,Sub_components,Control of Corruption,,,-0.778729439,World Bank
ALB,World Governance Indicator,2012,Sub_components,Government Effectiveness,,,-0.268925011,World Bank
ALB,World Governance Indicator,2012,Sub_components,Political Stability and Absence of Violence/Terrorism,,,-0.143631592,World Bank
ALB,World Governance Indicator,2012,Sub_components,Regulatory Quality,,,0.240491986,World Bank
ALB,World Governance Indicator,2012,Sub_components,Rule of Law,,,-0.519839764,World Bank
ALB,World Governance Indicator,2012,Sub_components,Voice and Accountability,,,0.022064038,World Bank
ALB,World Governance Indicator,2013,Sub_components,Control of Corruption,,,-0.751372695,World Bank
ALB,World Governance Indicator,2013,Sub_components,Government Effectiveness,,,-0.324457377,World Bank
ALB,World Governance Indicator,2013,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.091929786,World Bank
ALB,World Governance Indicator,2013,Sub_components,Regulatory Quality,,,0.254160255,World Bank
ALB,World Governance Indicator,2013,Sub_components,Rule of Law,,,-0.518828869,World Bank
ALB,World Governance Indicator,2013,Sub_components,Voice and Accountability,,,0.048864443,World Bank
ALB,World Governance Indicator,2014,Sub_components,Control of Corruption,,,-0.586571813,World Bank
ALB,World Governance Indicator,2014,Sub_components,Government Effectiveness,,,-0.04977081,World Bank
ALB,World Governance Indicator,2014,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.485986233,World Bank
ALB,World Governance Indicator,2014,Sub_components,Regulatory Quality,,,0.279037684,World Bank
ALB,World Governance Indicator,2014,Sub_components,Rule of Law,,,-0.311199099,World Bank
ALB,World Governance Indicator,2014,Sub_components,Voice and Accountability,,,0.143689781,World Bank
ALB,World Governance Indicator,2015,Sub_components,Control of Corruption,,,-0.545140803,World Bank
ALB,World Governance Indicator,2015,Sub_components,Government Effectiveness,,,0.027575254,World Bank
ALB,World Governance Indicator,2015,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.341639042,World Bank
ALB,World Governance Indicator,2015,Sub_components,Regulatory Quality,,,0.174237311,World Bank
ALB,World Governance Indicator,2015,Sub_components,Rule of Law,,,-0.3196868,World Bank
ALB,World Governance Indicator,2015,Sub_components,Voice and Accountability,,,0.157135263,World Bank
ALB,World Governance Indicator,2016,Sub_components,Control of Corruption,,,-0.472373724,World Bank
ALB,World Governance Indicator,2016,Sub_components,Government Effectiveness,,,0.029082362,World Bank
ALB,World Governance Indicator,2016,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.337447882,World Bank
ALB,World Governance Indicator,2016,Sub_components,Regulatory Quality,,,0.186607629,World Bank
ALB,World Governance Indicator,2016,Sub_components,Rule of Law,,,-0.322631985,World Bank
ALB,World Governance Indicator,2016,Sub_components,Voice and Accountability,,,0.171097502,World Bank
ALB,World Governance Indicator,2017,Sub_components,Control of Corruption,,,-0.48138684,World Bank
ALB,World Governance Indicator,2017,Sub_components,Government Effectiveness,,,0.098552845,World Bank
ALB,World Governance Indicator,2017,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.373770744,World Bank
ALB,World Governance Indicator,2017,Sub_components,Regulatory Quality,,,0.220610321,World Bank
ALB,World Governance Indicator,2017,Sub_components,Rule of Law,,,-0.414191574,World Bank
ALB,World Governance Indicator,2017,Sub_components,Voice and Accountability,,,0.203885168,World Bank
ALB,World Governance Indicator,2018,Sub_components,Control of Corruption,,,-0.546018898,World Bank
ALB,World Governance Indicator,2018,Sub_components,Government Effectiveness,,,0.080524534,World Bank
ALB,World Governance Indicator,2018,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.366779268,World Bank
